,Date,Users,year,month,day,day of week,weekend,season
326,2020-11-22,0,2020,11,22,6,1,autumn
327,2020-11-23,2,2020,11,23,0,0,autumn
328,2020-11-24,35,2020,11,24,1,0,autumn
329,2020-11-25,38,2020,11,25,2,0,autumn
330,2020-11-26,34,2020,11,26,3,0,autumn
331,2020-11-27,23,2020,11,27,4,0,autumn
332,2020-11-28,39,2020,11,28,5,1,autumn
333,2020-11-29,47,2020,11,29,6,1,autumn
334,2020-11-30,37,2020,11,30,0,0,autumn
335,2020-12-01,27,2020,12,1,1,0,autumn
336,2020-12-02,38,2020,12,2,2,0,autumn
337,2020-12-03,43,2020,12,3,3,0,autumn
338,2020-12-04,29,2020,12,4,4,0,autumn
339,2020-12-05,47,2020,12,5,5,1,autumn
340,2020-12-06,50,2020,12,6,6,1,autumn
341,2020-12-07,37,2020,12,7,0,0,autumn
342,2020-12-08,40,2020,12,8,1,0,autumn
343,2020-12-09,30,2020,12,9,2,0,autumn
344,2020-12-10,41,2020,12,10,3,0,autumn
345,2020-12-11,51,2020,12,11,4,0,autumn
346,2020-12-12,29,2020,12,12,5,1,autumn
347,2020-12-13,46,2020,12,13,6,1,autumn
348,2020-12-14,50,2020,12,14,0,0,autumn
349,2020-12-15,40,2020,12,15,1,0,autumn
350,2020-12-16,45,2020,12,16,2,0,autumn
351,2020-12-17,44,2020,12,17,3,0,autumn
352,2020-12-18,56,2020,12,18,4,0,autumn
353,2020-12-19,31,2020,12,19,5,1,autumn
354,2020-12-20,54,2020,12,20,6,1,autumn
355,2020-12-21,43,2020,12,21,0,0,winter
356,2020-12-22,11,2020,12,22,1,0,winter
357,2020-12-23,14,2020,12,23,2,0,winter
358,2020-12-24,13,2020,12,24,3,0,winter
359,2020-12-25,6,2020,12,25,4,0,winter
360,2020-12-26,13,2020,12,26,5,1,winter
361,2020-12-27,19,2020,12,27,6,1,winter
362,2020-12-28,18,2020,12,28,0,0,winter
363,2020-12-29,19,2020,12,29,1,0,winter
364,2020-12-30,5,2020,12,30,2,0,winter
365,2020-12-31,5,2020,12,31,3,0,winter
366,2021-01-01,3,2021,1,1,4,0,winter
367,2021-01-02,13,2021,1,2,5,1,winter
368,2021-01-03,18,2021,1,3,6,1,winter
369,2021-01-04,16,2021,1,4,0,0,winter
370,2021-01-05,27,2021,1,5,1,0,winter
371,2021-01-06,8,2021,1,6,2,0,winter
372,2021-01-07,19,2021,1,7,3,0,winter
373,2021-01-08,19,2021,1,8,4,0,winter
374,2021-01-09,9,2021,1,9,5,1,winter
375,2021-01-10,28,2021,1,10,6,1,winter
376,2021-01-11,19,2021,1,11,0,0,winter
377,2021-01-12,27,2021,1,12,1,0,winter
378,2021-01-13,26,2021,1,13,2,0,winter
379,2021-01-14,27,2021,1,14,3,0,winter
380,2021-01-15,22,2021,1,15,4,0,winter
381,2021-01-16,17,2021,1,16,5,1,winter
382,2021-01-17,14,2021,1,17,6,1,winter
383,2021-01-18,9,2021,1,18,0,0,winter
384,2021-01-19,8,2021,1,19,1,0,winter
385,2021-01-20,14,2021,1,20,2,0,winter
386,2021-01-21,20,2021,1,21,3,0,winter
387,2021-01-22,7,2021,1,22,4,0,winter
388,2021-01-23,9,2021,1,23,5,1,winter
389,2021-01-24,10,2021,1,24,6,1,winter
390,2021-01-25,15,2021,1,25,0,0,winter
391,2021-01-26,21,2021,1,26,1,0,winter
392,2021-01-27,15,2021,1,27,2,0,winter
393,2021-01-28,13,2021,1,28,3,0,winter
394,2021-01-29,21,2021,1,29,4,0,winter
395,2021-01-30,5,2021,1,30,5,1,winter
396,2021-01-31,3,2021,1,31,6,1,winter
397,2021-02-01,26,2021,2,1,0,0,winter
398,2021-02-02,36,2021,2,2,1,0,winter
399,2021-02-03,39,2021,2,3,2,0,winter
400,2021-02-04,66,2021,2,4,3,0,winter
401,2021-02-05,29,2021,2,5,4,0,winter
402,2021-02-06,55,2021,2,6,5,1,winter
403,2021-02-07,38,2021,2,7,6,1,winter
404,2021-02-08,50,2021,2,8,0,0,winter
405,2021-02-09,44,2021,2,9,1,0,winter
406,2021-02-10,37,2021,2,10,2,0,winter
407,2021-02-11,53,2021,2,11,3,0,winter
408,2021-02-12,39,2021,2,12,4,0,winter
409,2021-02-13,17,2021,2,13,5,1,winter
410,2021-02-14,52,2021,2,14,6,1,winter
411,2021-02-15,38,2021,2,15,0,0,winter
412,2021-02-16,42,2021,2,16,1,0,winter
413,2021-02-17,43,2021,2,17,2,0,winter
414,2021-02-18,50,2021,2,18,3,0,winter
415,2021-02-19,31,2021,2,19,4,0,winter
416,2021-02-20,20,2021,2,20,5,1,winter
417,2021-02-21,34,2021,2,21,6,1,winter
418,2021-02-22,49,2021,2,22,0,0,winter
419,2021-02-23,32,2021,2,23,1,0,winter
