Users,year,month,day,day of week,weekend,season,festivo
39,2021,8,6,4,0,4,0
23,2021,8,7,5,1,4,0
24,2021,8,8,6,1,4,0
41,2021,8,9,0,0,4,0
44,2021,8,10,1,0,4,0
33,2021,8,11,2,0,4,0
33,2021,8,12,3,0,4,0
20,2021,8,13,4,0,4,0
18,2021,8,14,5,1,4,0
23,2021,8,15,6,1,4,0
29,2021,8,16,0,0,4,1
39,2021,8,17,1,0,4,0
36,2021,8,18,2,0,4,0
24,2021,8,19,3,0,4,0
35,2021,8,20,4,0,4,0
29,2021,8,21,5,1,4,0
19,2021,8,22,6,1,4,0
38,2021,8,23,0,0,4,0
53,2021,8,24,1,0,4,0
37,2021,8,25,2,0,4,0
56,2021,8,26,3,0,4,0
43,2021,8,27,4,0,4,0
24,2021,8,28,5,1,4,0
34,2021,8,29,6,1,4,0
44,2021,8,30,0,0,4,0
50,2021,8,31,1,0,4,0
57,2021,9,1,2,0,4,0
42,2021,9,2,3,0,4,0
37,2021,9,3,4,0,4,0
23,2021,9,4,5,1,4,0
31,2021,9,5,6,1,4,0
53,2021,9,6,0,0,4,0
59,2021,9,7,1,0,4,0
66,2021,9,8,2,0,4,0
53,2021,9,9,3,0,4,0
37,2021,9,10,4,0,4,0
30,2021,9,11,5,1,4,0
36,2021,9,12,6,1,4,0
46,2021,9,13,0,0,4,0
46,2021,9,14,1,0,4,0
64,2021,9,15,2,0,4,0
43,2021,9,16,3,0,4,0
39,2021,9,17,4,0,4,0
33,2021,9,18,5,1,4,0
26,2021,9,19,6,1,4,0
52,2021,9,20,0,0,4,0
50,2021,9,21,1,0,4,0
41,2021,9,22,2,0,4,0
57,2021,9,23,3,0,2,0
27,2021,9,24,4,0,2,0
15,2021,9,25,5,1,2,0
36,2021,9,26,6,1,2,0
47,2021,9,27,0,0,2,0
61,2021,9,28,1,0,2,0
47,2021,9,29,2,0,2,0
45,2021,9,30,3,0,2,0
29,2021,10,1,4,0,2,0
17,2021,10,2,5,1,2,0
32,2021,10,3,6,1,2,0
61,2021,10,4,0,0,2,0
45,2021,10,5,1,0,2,0
60,2021,10,6,2,0,2,0
38,2021,10,7,3,0,2,0
31,2021,10,8,4,0,2,0
19,2021,10,9,5,1,2,0
23,2021,10,10,6,1,2,0
52,2021,10,11,0,0,2,0
41,2021,10,12,1,0,2,1
51,2021,10,13,2,0,2,0
36,2021,10,14,3,0,2,0
31,2021,10,15,4,0,2,0
29,2021,10,16,5,1,2,0
33,2021,10,17,6,1,2,0
41,2021,10,18,0,0,2,0
59,2021,10,19,1,0,2,0
45,2021,10,20,2,0,2,0
43,2021,10,21,3,0,2,0
27,2021,10,22,4,0,2,0
25,2021,10,23,5,1,2,0
17,2021,10,24,6,1,2,0
56,2021,10,25,0,0,2,0
36,2021,10,26,1,0,2,0
44,2021,10,27,2,0,2,0
51,2021,10,28,3,0,2,0
26,2021,10,29,4,0,2,0
18,2021,10,30,5,1,2,0
28,2021,10,31,6,1,2,0
20,2021,11,1,0,0,2,1
49,2021,11,2,1,0,2,0
51,2021,11,3,2,0,2,0
45,2021,11,4,3,0,2,0
34,2021,11,5,4,0,2,0
30,2021,11,6,5,1,2,0
33,2021,11,7,6,1,2,0
34,2021,11,8,0,0,2,0
38,2021,11,9,1,0,2,0
60,2021,11,10,2,0,2,0
51,2021,11,11,3,0,2,0
45,2021,11,12,4,0,2,0
46,2021,11,13,5,1,2,0
58,2021,11,14,6,1,2,0
35,2021,11,15,0,0,2,0
58,2021,11,16,1,0,2,0
47,2021,11,17,2,0,2,0
65,2021,11,18,3,0,2,0
42,2021,11,19,4,0,2,0
31,2021,11,20,5,1,2,0
35,2021,11,21,6,1,2,0
45,2021,11,22,0,0,2,0
50,2021,11,23,1,0,2,0
42,2021,11,24,2,0,2,0
27,2021,11,25,3,0,2,0
30,2021,11,26,4,0,2,0
17,2021,11,27,5,1,2,0
23,2021,11,28,6,1,2,0
31,2021,11,29,0,0,2,0
48,2021,11,30,1,0,2,0
44,2021,12,1,2,0,2,0
22,2021,12,2,3,0,2,0
38,2021,12,3,4,0,2,0
36,2021,12,4,5,1,2,0
19,2021,12,5,6,1,2,0
21,2021,12,6,0,0,2,1
50,2021,12,7,1,0,2,0
36,2021,12,8,2,0,2,1
49,2021,12,10,4,0,2,0
24,2021,12,11,5,1,2,0
37,2021,12,12,6,1,2,0
54,2021,12,13,0,0,2,0
49,2021,12,14,1,0,2,0
41,2021,12,15,2,0,2,0
35,2021,12,16,3,0,2,0
38,2021,12,17,4,0,2,0
29,2021,12,18,5,1,2,0
21,2021,12,19,6,1,2,0
41,2021,12,20,0,0,2,0
35,2021,12,21,1,0,3,0
44,2021,12,22,2,0,3,0
27,2021,12,23,3,0,3,0
28,2021,12,24,4,0,3,0
26,2021,12,25,5,1,3,1
33,2021,12,26,6,1,3,0
47,2021,12,27,0,0,3,0
36,2021,12,28,1,0,3,0
46,2021,12,29,2,0,3,0
48,2021,12,30,3,0,3,0
23,2021,12,31,4,0,3,0
17,2022,1,1,5,1,3,1
30,2022,1,2,6,1,3,0
52,2022,1,3,0,0,3,0
49,2022,1,4,1,0,3,0
44,2022,1,5,2,0,3,0
41,2022,1,6,3,0,3,1
36,2022,1,7,4,0,3,0
29,2022,1,8,5,1,3,0
37,2022,1,9,6,1,3,0
57,2022,1,10,0,0,3,0
58,2022,1,11,1,0,3,0
46,2022,1,12,2,0,3,0
52,2022,1,13,3,0,3,0
38,2022,1,14,4,0,3,0
42,2022,1,15,5,1,3,0
26,2022,1,16,6,1,3,0
66,2022,1,17,0,0,3,0
56,2022,1,18,1,0,3,0
53,2022,1,19,2,0,3,0
50,2022,1,20,3,0,3,0
54,2022,1,21,4,0,3,0
41,2022,1,22,5,1,3,0
55,2022,1,23,6,1,3,0
57,2022,1,24,0,0,3,0
62,2022,1,25,1,0,3,0
64,2022,1,26,2,0,3,0
69,2022,1,27,3,0,3,0
55,2022,1,28,4,0,3,0
38,2022,1,29,5,1,3,0
39,2022,1,30,6,1,3,0
72,2022,1,31,0,0,3,0
75,2022,2,1,1,0,3,0
66,2022,2,2,2,0,3,0
63,2022,2,3,3,0,3,0
42,2022,2,4,4,0,3,0
42,2022,2,5,5,1,3,0
42,2022,2,6,6,1,3,0
63,2022,2,7,0,0,3,0
49,2022,2,8,1,0,3,0
63,2022,2,9,2,0,3,0
53,2022,2,10,3,0,3,0
46,2022,2,11,4,0,3,0
49,2022,2,12,5,1,3,0
39,2022,2,13,6,1,3,0
48,2022,2,14,0,0,3,0
63,2022,2,15,1,0,3,0
37,2022,2,16,2,0,3,0
60,2022,2,17,3,0,3,0
47,2022,2,18,4,0,3,0
29,2022,2,19,5,1,3,0
38,2022,2,20,6,1,3,0
52,2022,2,21,0,0,3,0
57,2022,2,22,1,0,3,0
58,2022,2,23,2,0,3,0
54,2022,2,24,3,0,3,0
38,2022,2,25,4,0,3,0
27,2022,2,26,5,1,3,0
26,2022,2,27,6,1,3,0
59,2022,2,28,0,0,3,0
36,2022,3,1,1,0,3,0
45,2022,3,2,2,0,3,0
52,2022,3,3,3,0,3,0
47,2022,3,4,4,0,3,0
23,2022,3,5,5,1,3,0
30,2022,3,6,6,1,3,0
62,2022,3,7,0,0,3,0
74,2022,3,8,1,0,3,0
66,2022,3,9,2,0,3,0
38,2022,3,10,3,0,3,0
28,2022,3,11,4,0,3,0
32,2022,3,12,5,1,3,0
37,2022,3,13,6,1,3,0
66,2022,3,14,0,0,3,0
56,2022,3,15,1,0,3,0
78,2022,3,16,2,0,3,0
44,2022,3,17,3,0,3,0
41,2022,3,18,4,0,3,0
45,2022,3,19,5,1,3,0
40,2022,3,20,6,1,3,0
83,2022,3,21,0,0,1,0
60,2022,3,22,1,0,1,0
59,2022,3,23,2,0,1,0
73,2022,3,24,3,0,1,0
56,2022,3,25,4,0,1,0
34,2022,3,26,5,1,1,0
31,2022,3,27,6,1,1,0
66,2022,3,28,0,0,1,0
66,2022,3,29,1,0,1,0
71,2022,3,30,2,0,1,0
53,2022,3,31,3,0,1,0
48,2022,4,1,4,0,1,0
40,2022,4,2,5,1,1,0
51,2022,4,3,6,1,1,0
86,2022,4,4,0,0,1,0
56,2022,4,5,1,0,1,0
53,2022,4,6,2,0,1,0
48,2022,4,7,3,0,1,0
55,2022,4,8,4,0,1,0
37,2022,4,9,5,1,1,0
32,2022,4,10,6,1,1,0
